Itemset: [1852314876697907200], Utility: 3900000.00
Itemset: [1859497042557014016], Utility: 7280000.00
Itemset: [1852314878040084480], Utility: 1260000.00
Itemset: [1852314878040084480 1852314876970536960], Utility: 13960000.00
Itemset: [0 1852314878040084480 1852314876970536960], Utility: 19100000.00
Itemset: [1852314878040084480 0], Utility: 6400000.00
Itemset: [1852314876970536960], Utility: 12700000.00
Itemset: [0 1852314876970536960], Utility: 17840000.00
Itemset: [1852314877234778112], Utility: 25900000.00
Itemset: [1852314877234778112 0], Utility: 28470000.00
Itemset: [1852314870817492992], Utility: 33760000.00
Itemset: [1852314870817492992 1852314875355729920], Utility: 15500000.00
Itemset: [1852314872675569664], Utility: 24500000.00
Itemset: [1852314872675569664 1852314871618605056], Utility: 60340000.00
Itemset: [1852314871878651904], Utility: 9860000.00
Itemset: [1852314872142893056 1852314871878651904], Utility: 33120000.00
Itemset: [1852314872142893056 1852314871618605056 1852314871878651904], Utility: 68960000.00
Itemset: [1852314871878651904 1852314871618605056], Utility: 45700000.00
Itemset: [1852314872407134208], Utility: 23200000.00
Itemset: [1852314872407134208 1852314871618605056], Utility: 59040000.00
Itemset: [1852314872407134208 1852314871618605056 0], Utility: 70380000.00
Itemset: [1852314872407134208 0], Utility: 34540000.00
Itemset: [1859435542874165248], Utility: 23960000.00
Itemset: [1859435542874165248 1852314872142893056], Utility: 87750000.00
Itemset: [1859435542874165248 1852314872142893056 0], Utility: 121770000.00
Itemset: [1859435542874165248 0], Utility: 51990000.00
Itemset: [1852314872142893056], Utility: 93040000.00
Itemset: [1852314872142893056 1852314871618605056], Utility: 59100000.00
Itemset: [1852314872142893056 0], Utility: 103800000.00
Itemset: [1852314871618605056], Utility: 107520000.00
Itemset: [1852314871618605056 0], Utility: 47180000.00
Itemset: [0], Utility: 53070000.00
